instance,N,energy,merit_factor,wall_time_s,hardware,solver
LABS-76,76,586,4.93,6.86,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-77,77,646,4.59,6.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-78,78,667,4.56,7.04,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-79,79,647,4.82,8.03,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-80,80,632,5.06,9.77,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-81,81,672,4.88,9.1,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-82,82,681,4.94,9.68,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-83,83,733,4.7,9.65,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-84,84,730,4.83,9.93,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-85,85,742,4.87,12.65,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-86,86,767,4.82,12.22,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-87,87,763,4.96,12.48,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-88,88,740,5.23,13.29,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-89,89,828,4.78,14.96,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-90,90,845,4.79,16.95,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-91,91,857,4.83,17.47,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-92,92,738,5.73,17.71,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-93,93,854,5.06,18.76,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-94,94,915,4.83,19.5,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-95,95,867,5.2,18.94,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-96,96,984,4.68,21.86,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-97,97,1000,4.7,21.82,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-98,98,897,5.35,24.49,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-99,99,985,4.98,21.64,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
LABS-100,100,1022,4.89,16.88,"AMD EPYC-Rome, 100 cores",Quicopt v0.1
