instance,N,edges,w,cut,best-known,%_of_best,wall_time_s,hardware,solver
G60,7000,17148,+1,14028,14176,98.96,2.65,NVIDIA A100 80GB,Quicopt v0.1
G61,7000,17148,±1,5644,5789,97.5,2.67,NVIDIA A100 80GB,Quicopt v0.1
G62,7000,14000,±1,4702,4870,96.55,1.02,NVIDIA A100 80GB,Quicopt v0.1
G63,7000,41459,+1,26761,27047,98.94,15.95,NVIDIA A100 80GB,Quicopt v0.1
G64,7000,41459,±1,8513,8735,97.46,20.03,NVIDIA A100 80GB,Quicopt v0.1
G65,8000,16000,±1,5378,5562,96.69,1.86,NVIDIA A100 80GB,Quicopt v0.1
G66,9000,18000,±1,6140,6364,96.48,1.26,NVIDIA A100 80GB,Quicopt v0.1
G67,10000,20000,±1,6714,6950,96.6,2.25,NVIDIA A100 80GB,Quicopt v0.1
G70,10000,9999,+1,9448,9595,98.47,2.6,NVIDIA A100 80GB,Quicopt v0.1
G72,10000,20000,±1,6762,7008,96.49,2.05,NVIDIA A100 80GB,Quicopt v0.1
G77,14000,28000,±1,9580,9940,96.38,1.96,NVIDIA A100 80GB,Quicopt v0.1
G81,20000,40000,±1,13552,14060,96.39,2.75,NVIDIA A100 80GB,Quicopt v0.1
